Bank Name,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Banamex,..,317.496436,303.4338857,358.7368642,417.2787001,449.5199462,439.4119184,527.2915545,563.122061,619.0855702,631.4168585,618.6042543,512.8485337
BBVA,..,491.9639141,548.9269057,599.9688335,631.4076727,686.2538628,776.480409,871.4041469,987.4433783,1043.237686,1128.439256,1205.419248,1197.718306
Santander,..,193.9017715,210.7411039,293.8240747,329.2033969,353.8708222,415.0674145,490.9393618,538.0921645,560.7726806,621.3466008,650.987311,645.638511
Banorte,..,214.8761648,241.8741727,296.4259969,350.828248,406.8369199,446.3940348,486.7436201,553.1416326,600.1928788,751.1692827,739.0605839,771.5718777
HSBC,..,149.2757534,162.4809158,177.1434123,189.5982861,192.7675434,218.7675096,232.3616543,265.7187498,305.3450661,366.1229549,387.3490801,348.7639145
Scotiabank,..,95.60376816,102.1097193,110.9495579,124.067644,151.7225852,172.4049612,208.462636,244.7571434,305.3654928,358.5125804,402.125106,398.1428289
Inbursa,..,..,..,..,149.2804885,168.9580174,183.0836534,190.7094898,216.532674,228.3790419,208.8621296,211.726219,193.8793615
Bajio,..,..,..,..,76.00363582,84.28713659,90.44447527,102.8588444,118.3775261,134.7918968,156.7878129,168.6343234,186.7567003
Azteca,..,..,..,..,54.48669492,54.39536678,51.78895231,46.97582997,61.69859763,68.75773698,72.49255183,85.49524589,95.56005072
Banregio,..,..,..,..,31.63490898,39.05270591,48.28886049,63.36613504,75.77154859,85.19730854,95.84595687,103.6965336,106.7207852
Bancoppel,..,..,..,..,6.189378787,7.611346847,9.630411052,12.87997386,12.61288081,15.70690808,19.65613303,21.45621011,21.51740053
Multiva,..,..,..,..,25.21030706,36.10152271,41.53406841,55.2118001,60.62447663,60.67759241,73.51650719,69.34229932,56.10865617
Sabadell,..,..,..,..,..,..,..,..,..,19.52089502,35.63062703,55.63311048,57.85030243
Interacciones,..,..,..,..,53.10998324,61.1564518,80.37860573,95.66557623,113.5655927,115.1126347,..,..,..
